Wavelength [nm],Solar spectral irradiance [W/m\sp2\ep/nm]
0.5,0.00000199
1.5,0.00000133
2.5,0.00002476
3.5,0.00001619
4.5,0.00003012
5.5,0.00006913
6.5,0.00005941
7.5,0.00006792
8.5,0.00004127
9.5,0.00005189
10.5,0.00001891
11.5,0.00001379
12.5,0.00000873
13.5,0.00000838
14.5,0.00002267
15.5,0.00002062
16.5,0.000042
17.5,0.0001768
18.5,0.00007212
19.5,0.00006177
20.5,0.00002562
21.5,0.00001782
22.5,0.00003904
23.5,0.00002086
24.5,0.00004867
25.5,0.00007546
26.5,0.00001802
27.5,0.00003818
28.5,0.00002714
29.5,0.00001666
30.5,0.0004867
31.5,0.00006991
32.5,0.0000385
33.5,0.00003807
34.5,0.00004067
35.5,0.00003148
36.5,0.00004249
37.5,0.00001275
38.5,0.00000547
39.5,0.0000048
40.5,0.00000806
41.5,0.00000483
42.5,0.00000442
43.5,0.00000847
44.5,0.00000405
45.5,0.00000366
46.5,0.00001266
47.5,0.00000525
48.5,0.00000891
49.5,0.00001705
50.5,0.00001341
51.5,0.00000445
52.5,0.00000468
53.5,0.00000577
54.5,0.00000407
55.5,0.00001793
56.5,0.00000523
57.5,0.00000495
58.5,0.00002719
59.5,0.00000646
60.5,0.00001782
61.5,0.00000818
62.5,0.00003361
63.5,0.00000804
64.5,0.00000205
65.5,0.00000149
66.5,0.00000144
67.5,0.00000143
68.5,0.00000486
69.5,0.00000342
70.5,0.00000979
71.5,0.00000415
72.5,0.00000282
73.5,0.00000367
74.5,0.00000452
75.5,0.00000729
76.5,0.00001903
77.5,0.00001393
78.5,0.00002328
79.5,0.00001151
80.5,0.00001079
81.5,0.00001226
82.5,0.00001812
83.5,0.00003361
84.5,0.0000225
85.5,0.00002506
86.5,0.00002656
87.5,0.00003162
88.5,0.00003614
89.5,0.00004395
90.5,0.00005207
91.5,0.00004032
92.5,0.00001422
93.5,0.00001272
94.5,0.00000902
95.5,0.00000571
96.5,0.00000594
97.5,0.000102
98.5,0.00001202
99.5,0.00001855
100.5,0.00000755
101.5,0.00000873
102.5,0.00007169
103.5,0.00007455
104.5,0.00001205
105.5,0.0000102
106.5,0.00000974
107.5,0.00001036
108.5,0.00001729
109.5,0.00001163
110.5,0.00001241
111.5,0.00001279
112.5,0.00001213
113.5,0.00001088
114.5,0.00000736
115.5,0.0000121
116.5,0.00001368
117.5,0.00005026
118.5,0.0000154
119.5,0.00004652
119.55,0.00004485
119.6,0.00004273
119.65,0.00004144
119.7,0.0000412
119.75,0.00004208
119.8,0.00004394
119.85,0.00004636
119.9,0.00004876
119.95,0.00005054
120,0.00005114
120.05,0.00005028
120.1,0.00004826
120.15,0.00004581
120.2,0.00004365
120.25,0.00004259
120.3,0.00004588
120.35,0.00005933
120.4,0.00008741
120.45,0.0001325
120.5,0.000189
120.55,0.0002427
120.6,0.0002787
120.65,0.0002866
120.7,0.0002611
120.75,0.0002124
120.8,0.0001595
120.85,0.0001149
120.9,0.00008528
120.95,0.00007382
121,0.00007688
121.05,0.00008847
121.1,0.0001099
121.15,0.0001624
121.2,0.0003699
121.25,0.00108
121.3,0.002746
121.35,0.005602
121.4,0.009423
121.45,0.0135
121.5,0.01679
121.55,0.01821
121.6,0.01724
121.65,0.01427
121.7,0.0103
121.75,0.006427
121.8,0.003387
121.85,0.001506
121.9,0.0006257
121.95,0.0003032
122,0.000187
122.05,0.0001308
122.1,0.00009814
122.15,0.00007843
122.2,0.00006595
122.25,0.00005727
122.3,0.00005101
122.35,0.00004639
122.4,0.00004288
122.45,0.00004015
122.5,0.00003796
122.55,0.00003617
122.6,0.00003489
122.65,0.00003403
122.7,0.00003333
122.75,0.00003272
122.8,0.0000322
122.85,0.00003153
122.9,0.00003066
122.95,0.00002985
123,0.00002911
123.05,0.00002831
123.1,0.0000276
123.15,0.00002706
123.2,0.00002655
123.25,0.00002611
123.3,0.00002584
123.35,0.00002564
123.4,0.00002543
123.45,0.00002524
123.5,0.00002523
123.55,0.00002602
123.6,0.00002847
123.65,0.00003303
123.7,0.00003955
123.75,0.00004698
123.8,0.00005326
123.85,0.00005633
123.9,0.00005533
123.95,0.000051
124,0.00004526
124.05,0.00004046
124.1,0.0000382
124.15,0.00003842
124.2,0.00003965
124.25,0.00004016
124.3,0.00003881
124.35,0.00003529
124.4,0.00003057
124.45,0.00002614
124.5,0.0000229
124.55,0.00002106
124.6,0.00002042
124.65,0.00002046
124.7,0.00002054
124.75,0.00002042
124.8,0.0000202
124.85,0.00002003
124.9,0.00002002
124.95,0.00002012
125,0.00002017
125.05,0.0000202
125.1,0.00002024
125.15,0.00002043
125.2,0.00002103
125.25,0.00002204
125.3,0.00002312
125.35,0.00002403
125.4,0.00002463
125.45,0.00002468
125.5,0.00002438
125.55,0.00002417
125.6,0.00002409
125.65,0.00002445
125.7,0.0000257
125.75,0.00002809
125.8,0.00003178
125.85,0.00003645
125.9,0.00004106
125.95,0.0000444
126,0.00004544
126.05,0.00004351
126.1,0.00003894
126.15,0.00003341
126.2,0.00002953
126.25,0.0000296
126.3,0.00003429
126.35,0.0000426
126.4,0.00005212
126.45,0.00005921
126.5,0.00006093
126.55,0.0000567
126.6,0.00004838
126.65,0.0000386
126.7,0.00002953
126.75,0.00002267
126.8,0.00001857
126.85,0.00001645
126.9,0.00001532
126.95,0.00001484
127,0.00001479
127.05,0.00001485
127.1,0.00001483
127.15,0.00001473
127.2,0.00001472
127.25,0.00001511
127.3,0.00001613
127.35,0.00001781
127.4,0.00001992
127.45,0.00002206
127.5,0.00002393
127.55,0.00002524
127.6,0.00002586
127.65,0.00002602
127.7,0.00002581
127.75,0.00002533
127.8,0.00002479
127.85,0.00002433
127.9,0.00002383
127.95,0.00002312
128,0.00002204
128.05,0.00002051
128.1,0.00001859
128.15,0.00001652
128.2,0.00001467
128.25,0.00001325
128.3,0.00001234
128.35,0.00001183
128.4,0.00001163
128.45,0.00001169
128.5,0.00001204
128.55,0.00001288
128.6,0.00001435
128.65,0.00001645
128.7,0.00001891
128.75,0.00002132
128.8,0.00002319
128.85,0.00002403
128.9,0.00002375
128.95,0.0000225
129,0.00002062
129.05,0.00001859
129.1,0.00001677
129.15,0.00001534
129.2,0.00001451
129.25,0.00001442
129.3,0.00001502
129.35,0.00001625
129.4,0.00001794
129.45,0.00001966
129.5,0.00002101
129.55,0.0000218
129.6,0.00002205
129.65,0.00002201
129.7,0.00002208
129.75,0.00002264
129.8,0.0000238
129.85,0.00002621
129.9,0.00003262
129.95,0.0000464
130,0.00006869
130.05,0.00009744
130.1,0.0001276
130.15,0.0001532
130.2,0.0001715
130.25,0.0001838
130.3,0.0001963
130.35,0.0002171
130.4,0.0002458
130.45,0.0002731
130.5,0.0002876
130.55,0.0002812
130.6,0.0002501
130.65,0.0002006
130.7,0.0001474
130.75,0.0001027
130.8,0.00007213
130.85,0.00005557
130.9,0.00004891
130.95,0.00004626
131,0.00004345
131.05,0.00003954
131.1,0.00003518
131.15,0.00003109
131.2,0.00002776
131.25,0.00002524
131.3,0.00002322
131.35,0.00002169
131.4,0.00002095
131.45,0.00002115
131.5,0.00002219
131.55,0.00002384
131.6,0.0000256
131.65,0.00002701
131.7,0.00002794
131.75,0.00002837
131.8,0.00002811
131.85,0.00002712
131.9,0.00002546
131.95,0.00002316
132,0.00002053
132.05,0.00001833
132.1,0.00001697
132.15,0.00001663
132.2,0.00001726
132.25,0.0000184
132.3,0.00001938
132.35,0.0000199
132.4,0.00001988
132.45,0.0000194
132.5,0.0000188
132.55,0.00001846
132.6,0.00001857
132.65,0.00001938
132.7,0.00002101
132.75,0.0000232
132.8,0.00002547
132.85,0.00002724
132.9,0.00002794
132.95,0.00002728
133,0.00002553
133.05,0.00002344
133.1,0.00002397
133.15,0.00003371
133.2,0.00006142
133.25,0.0001149
133.3,0.0001963
133.35,0.0002978
133.4,0.0003997
133.45,0.0004737
133.5,0.0004987
133.55,0.0004682
133.6,0.00039
133.65,0.0002854
133.7,0.0001843
133.75,0.0001057
133.8,0.00005455
133.85,0.00002833
133.9,0.0000197
133.95,0.00001804
134,0.00001798
134.05,0.00001831
134.1,0.00001868
134.15,0.00001902
134.2,0.00001917
134.25,0.00001907
134.3,0.00001884
134.35,0.00001862
134.4,0.00001847
134.45,0.00001844
134.5,0.00001851
134.55,0.00001863
134.6,0.00001879
134.65,0.00001896
134.7,0.0000191
134.75,0.00001925
134.8,0.00001964
134.85,0.00002068
134.9,0.00002272
134.95,0.00002589
135,0.00002987
135.05,0.0000338
135.1,0.00003658
135.15,0.00003747
135.2,0.00003659
135.25,0.0000352
135.3,0.00003513
135.35,0.00003752
135.4,0.0000423
135.45,0.00004828
135.5,0.00005344
135.55,0.00005592
135.6,0.00005528
135.65,0.00005241
135.7,0.00004882
135.75,0.00004565
135.8,0.00004315
135.85,0.00004106
135.9,0.00003905
135.95,0.0000366
136,0.00003481
136.05,0.0000324
136.1,0.0000304
136.15,0.00002897
136.2,0.00002816
136.25,0.00002802
136.3,0.00002809
136.35,0.00002813
136.4,0.00002786
