#-- spectrum
#\*l [nm]	Solar spectral irradiance [W/m\sp2\ep/nm]
   0.50000000     0.00000199
   1.50000000     0.00000133
   2.50000000     0.00002476
   3.50000000     0.00001619
   4.50000000     0.00003012
   5.50000000     0.00006913
   6.50000000     0.00005941
   7.50000000     0.00006792
   8.50000000     0.00004127
   9.50000000     0.00005189
  10.50000000     0.00001891
  11.50000000     0.00001379
  12.50000000     0.00000873
  13.50000000     0.00000838
  14.50000000     0.00002267
  15.50000000     0.00002062
  16.50000000     0.00004200
  17.50000000     0.00017680
  18.50000000     0.00007212
  19.50000000     0.00006177
  20.50000000     0.00002562
  21.50000000     0.00001782
  22.50000000     0.00003904
  23.50000000     0.00002086
  24.50000000     0.00004867
  25.50000000     0.00007546
  26.50000000     0.00001802
  27.50000000     0.00003818
  28.50000000     0.00002714
  29.50000000     0.00001666
  30.50000000     0.00048670
  31.50000000     0.00006991
  32.50000000     0.00003850
  33.50000000     0.00003807
  34.50000000     0.00004067
  35.50000000     0.00003148
  36.50000000     0.00004249
  37.50000000     0.00001275
  38.50000000     0.00000547
  39.50000000     0.00000480
  40.50000000     0.00000806
  41.50000000     0.00000483
  42.50000000     0.00000442
  43.50000000     0.00000847
  44.50000000     0.00000405
  45.50000000     0.00000366
  46.50000000     0.00001266
  47.50000000     0.00000525
  48.50000000     0.00000891
  49.50000000     0.00001705
  50.50000000     0.00001341
  51.50000000     0.00000445
  52.50000000     0.00000468
  53.50000000     0.00000577
  54.50000000     0.00000407
  55.50000000     0.00001793
  56.50000000     0.00000523
  57.50000000     0.00000495
  58.50000000     0.00002719
  59.50000000     0.00000646
  60.50000000     0.00001782
  61.50000000     0.00000818
  62.50000000     0.00003361
  63.50000000     0.00000804
  64.50000000     0.00000205
  65.50000000     0.00000149
  66.50000000     0.00000144
  67.50000000     0.00000143
  68.50000000     0.00000486
  69.50000000     0.00000342
  70.50000000     0.00000979
  71.50000000     0.00000415
  72.50000000     0.00000282
  73.50000000     0.00000367
  74.50000000     0.00000452
  75.50000000     0.00000729
  76.50000000     0.00001903
  77.50000000     0.00001393
  78.50000000     0.00002328
  79.50000000     0.00001151
  80.50000000     0.00001079
  81.50000000     0.00001226
  82.50000000     0.00001812
  83.50000000     0.00003361
  84.50000000     0.00002250
  85.50000000     0.00002506
  86.50000000     0.00002656
  87.50000000     0.00003162
  88.50000000     0.00003614
  89.50000000     0.00004395
  90.50000000     0.00005207
  91.50000000     0.00004032
  92.50000000     0.00001422
