# Lepton 1 Charge, Lepton 2 Charge, Lepton 3 Charge, Lepton 4 Charge, Lepton 1 Type, Lepton 2 Type, Lepton 3 Type, Lepton 4 Type, Lepton 1 E, Lepton 2 E, Lepton 3 E, Lepton 4 E, Lepton 1 pt, Lepton 2 pt, Lepton 3 pt, Lepton 4 pt, Lepton 1 eta, Lepton 2 eta, Lepton 3 eta, Lepton 4 eta, Lepton 1 phi, Lepton 2 phi, Lepton 3 phi, Lepton 4 phi
1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.100000000000000000e+01,1.100000000000000000e+01,1.300000000000000000e+01,1.300000000000000000e+01,1.335622187500000000e+05,6.761464062500000000e+04,4.302739453125000000e+04,2.738054492187500000e+04,4.913834375000000000e+04,4.345164843750000000e+04,4.301826953125000000e+04,2.735221289062500000e+04,-1.657376766204833984e+00,-1.010989665985107422e+00,-2.045098692178726196e-02,4.534672945737838745e-02,1.051505684852600098e+00,-2.201116323471069336e+00,1.995861530303955078e+00,-3.034171581268310547e+00
-1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,1.100000000000000000e+01,1.300000000000000000e+01,1.300000000000000000e+01,1.100000000000000000e+01,7.114210625000000000e+05,2.085459218750000000e+05,1.178732734375000000e+05,4.426955625000000000e+05,1.755587343750000000e+05,1.388466718750000000e+05,1.066965312500000000e+05,7.977672656250000000e+04,2.076853990554809570e+00,9.641987085342407227e-01,4.538123011589050293e-01,2.398578405380249023e+00,1.292962670326232910e+00,-2.256138563156127930e+00,-1.797010183334350586e+00,5.870668888092041016e-01
-1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,1.100000000000000000e+01,1.100000000000000000e+01,1.300000000000000000e+01,1.300000000000000000e+01,6.563169531250000000e+04,4.081344921875000000e+04,1.898009179687500000e+04,1.487021093750000000e+04,6.528406640625000000e+04,3.729076562500000000e+04,1.242692578125000000e+04,8.804564453125000000e+03,1.031516939401626587e-01,4.313104450702667236e-01,9.864626526832580566e-01,1.115100145339965820e+00,2.329535245895385742e+00,-2.481721162796020508e+00,2.223429203033447266e+00,2.496739625930786133e+00
-1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,1.100000000000000000e+01,1.100000000000000000e+01,1.300000000000000000e+01,1.300000000000000000e+01,1.852108125000000000e+05,2.040636914062500000e+04,1.634570312500000000e+04,1.360880175781250000e+04,7.458365625000000000e+04,1.514743554687500000e+04,1.081619921875000000e+04,1.017041210937500000e+04,-1.559465169906616211e+00,-8.108869194984436035e-01,9.723682403564453125e-01,-8.006780147552490234e-01,2.328564167022705078e+00,-6.496652364730834961e-01,-1.214871406555175781e+00,-6.573267579078674316e-01
1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,1.100000000000000000e+01,1.100000000000000000e+01,1.100000000000000000e+01,1.100000000000000000e+01,1.497708906250000000e+05,1.319502656250000000e+05,3.508119921875000000e+04,3.323721875000000000e+04,1.467847031250000000e+05,1.275399687500000000e+05,3.356217968750000000e+04,2.977612890625000000e+04,-2.013723403215408325e-01,-2.622296810150146484e-01,-2.997416853904724121e-01,4.776034653186798096e-01,5.605879426002502441e-01,-2.231103658676147461e+00,2.001547574996948242e+00,2.971453428268432617e+00
-1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.300000000000000000e+01,1.100000000000000000e+01,1.100000000000000000e+01,1.300000000000000000e+01,3.166859062500000000e+05,1.065141406250000000e+05,1.174100156250000000e+05,4.979712500000000000e+04,1.356806875000000000e+05,8.289479687500000000e+04,6.250809765625000000e+04,4.255290625000000000e+04,1.491337537765502930e+00,7.380286455154418945e-01,1.243667125701904297e+00,5.755265951156616211e-01,-7.563025951385498047e-01,-2.757695674896240234e+00,2.271932840347290039e+00,-1.122610092163085938e+00
-1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,1.100000000000000000e+01,1.100000000000000000e+01,1.300000000000000000e+01,1.100000000000000000e+01,1.402621562500000000e+05,3.079213867187500000e+04,2.198111328125000000e+04,2.068743164062500000e+04,4.199889062500000000e+04,2.938450000000000000e+04,2.066120312500000000e+04,7.902932617187500000e+03,-1.875808835029602051e+00,-3.083065450191497803e-01,-3.555352389812469482e-01,1.616779685020446777e+00,-2.621482908725738525e-01,3.032444953918457031e+00,-1.156216025352478027e+00,-2.057429790496826172e+00
1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,1.100000000000000000e+01,1.100000000000000000e+01,1.300000000000000000e+01,1.300000000000000000e+01,1.631540937500000000e+05,4.287278906250000000e+04,1.589533105468750000e+04,1.230905078125000000e+04,6.771317968750000000e+04,4.279181640625000000e+04,1.274254199218750000e+04,1.029109277343750000e+04,-1.526417851448059082e+00,-6.150811165571212769e-02,-6.896634101867675781e-01,-6.163657903671264648e-01,-1.403781414031982422e+00,-1.353487014770507812e+00,-3.247549831867218018e-01,-3.771283924579620361e-01
1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,1.300000000000000000e+01,1.300000000000000000e+01,1.300000000000000000e+01,1.300000000000000000e+01,1.424267187500000000e+05,3.122724375000000000e+05,1.570488593750000000e+05,9.697913281250000000e+04,1.339970625000000000e+05,1.317169218750000000e+05,1.215518203125000000e+05,9.529192187500000000e+04,-3.528745770454406738e-01,-1.508588671684265137e+00,-7.467674016952514648e-01,1.878996789455413818e-01,2.093273639678955078e+00,-1.275869488716125488e+00,-1.089428544044494629e+00,1.507791638374328613e+00
-1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,1.300000000000000000e+01,1.300000000000000000e+01,1.100000000000000000e+01,1.100000000000000000e+01,9.348449218750000000e+04,2.259810546875000000e+04,1.344624023437500000e+04,1.545219726562500000e+04,4.898341015625000000e+04,1.764312109375000000e+04,1.087682812500000000e+04,9.635456054687500000e+03,-1.262435913085937500e+00,-7.329260110855102539e-01,-6.744958162307739258e-01,-1.049909472465515137e+00,-3.040135383605957031e+00,1.333466470241546631e-01,4.657803773880004883e-01,2.361378371715545654e-01
